"category","content","vet_id"
"colon","Se observa signo de obstrucción.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"adrenal_glands","De características ultrasonográficas conservadas.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","De características ultrasonográficas conservadas.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Tamaño aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Ecogenicidad reducida","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Ecotextura heterogénea","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Se observa quiste","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Se observa imágenes pseudoquística","da07b0a1-53a8-42db-9c7a-748415bf9734"
"pancreas","Se observa el conducto pancreático dilatado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Vacío","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Distensión leve","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Distensión moderada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Sobredistensión","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido gaseoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","No evaluable.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido alimenticio","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido mucoso","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido líquido","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Contenido líquido con focos ecogénicos en suspensión","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estratificación conservada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estratificación menos evidenciable","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pérdida total de la estratificación","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pseudoestratificación","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pared de grosor normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Pared engrosada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato muscular engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato submucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Estrato mucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Se observa lesión excavada sugerente de úlcera gástrica.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo disminuido","da07b0a1-53a8-42db-9c7a-748415bf9734"
"stomach","Peristaltismo ausente, ileo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Distención leve","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Distención moderada (normal)","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Sobre distendida,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Forma de saco (normal)","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Pared ecogénica, íntegra, lisa, de espesor normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Pared con ecogenicidad aumentada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Signo de doble pared vesicular colecistitis","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Espesor normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Espesor engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa una imagen nodular en la pared, en la zona del (ápex - cuerpo - cuello)","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa imagen sugerente de ruptura vesicular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Superficie interna regular","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Superficie interna irregular,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Contenido anecoico homogéneo (normal)","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Contenido ecogénico homogéneo móvil (sedimento)","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa en su interior una imagen hiperecoica móvil, con sombra acústica posterior ,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa patrón estrellado, sugerente de Mucocele","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa conducto Cístico dilatado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa conducto Colédoco dilatado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Pared del conducto colédoco engrosada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa imagen nodular sugerente de pólipo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa imagen nodular sugerente de neoplasia","da07b0a1-53a8-42db-9c7a-748415bf9734"
"gallbladder","Se observa imagen nodular sugerente de hiperplasia de las glándulas mucinosas","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Conserva buena relación y diferenciación corticomedular","da07b0a1-53a8-42db-9c7a-748415bf9734"
